Symbol,Name,Category,Index,Expense
IPAY,ETFMG Prime Mobile Payments ETF,Technology Equities,ISE Mobile Payments Index,0.75%
ITA,iShares U.S. Aerospace & Defense ETF,Industrials Equities,Dow Jones U.S. Select Aerospace & Defense Index,0.42%
HACK,ETFMG Prime Cyber Security ETF,Technology Equities,ISE Cyber Security Index,0.60%
GAMR,ETFMG Video Game Tech ETF,Global Equities,EEFund Video Game Tech Index,0.75%
PHO,Invesco Water Resources ETF,Water Equities ,NASDAQ OMX US Water Index,0.60%
TAN,Invesco Solar ETF,Alternative Energy Equities,MAC Global Solar Energy Index,0.71%
BJK,VanEck Vectors Gaming ETF,Consumer Discretionary Equities,S-Network Global Gaming Index,0.66%
ROBO,ROBO Global Robotics and Automation Index ETF,Global Equities,Robo-Stox Global Robotics and Automation Index,0.95%
BOTZ,Global X Robotics & Artificial Intelligence Thematic ETF,Global Equities,Indxx Global Robotics & Artificial Intelligence Thematic Index,0.68%
SKYY,First Trust ISE Cloud Computing Index Fund,Technology Equities,ISE Cloud Computing Index,0.60%
SOCL,Global X Social Media Index ETF,Large Cap Growth Equities,Solactive Social Media Index,0.65%
IXJ,iShares Global Healthcare ETF,Health & Biotech Equities,S&P Global Healthcare Sector Index,0.46%
XLV,Health Care Select Sector SPDR Fund,Health & Biotech Equities,Health Care Select Sector Index,0.13%
VHT,Vanguard Healthcare ETF,Health & Biotech Equities,MSCI US Investable Market Health Care 25/50 Index,0.10%
IYH,iShares U.S. Healthcare ETF,Health & Biotech Equities,Dow Jones U.S. Health Care Index,0.43%
RYH,Invesco S&P 500Â® Equal Weight Health Care ETF,Health & Biotech Equities,S&P Equal Weight Index Health Care,0.40%
XBI,SPDR S&P Biotech ETF,Health & Biotech Equities,S&P Biotechnology Select Industry Index,0.35%
FBT,First Trust Amex Biotechnology Index,Health & Biotech Equities,NYSE Arca Biotechnology Index,0.57%
BBH,VanEck Vectors Biotech ETF,Health & Biotech Equities,MVIS US Listed Biotech 25 Index,0.35%
IHE,iShares U.S. Pharmaceuticals ETF,Health & Biotech Equities,Dow Jones U.S. Select Pharmaceuticals Index,0.42%
XPH,SPDR S&P Pharmaceuticals ETF,Health & Biotech Equities,S&P Pharmaceuticals Select Industry Index,0.35%
PPH,VanEck Vectors Pharmaceutical ETF,Health & Biotech Equities,MVIS US Listed Pharmaceutical 25 Index,0.36%
IHF,iShares U.S. Healthcare Providers ETF,Health & Biotech Equities,Dow Jones U.S. Select Health Care Providers Index,0.43%
IHI,iShares U.S. Medical Devices ETF,Health & Biotech Equities,Dow Jones U.S. Select Medical Equipment Index,0.43%
PPA,Invesco Aerospace & Defense ETF,Industrials Equities,SPADE Defense Index,0.59%
XAR,SPDR S&P Aerospace & Defense ETF,Industrials Equities,S&P Aerospace & Defense Select Industry Index ,0.35%
FINX,Global X FinTech Thematic ETF,Technology Equities,Indxx Global FinTech Thematic Index,0.68%
KNOW,Direxion All Cap Insider Sentiment Shares,Large Cap Growth Equities,Sabrient Multi-Cap Insider/Analyst Quant-Weighted Index,0.59%
SNSR,Global X Internet of Things Thematic ETF,Technology Equities,Indxx Global Internet of Things Thematic Index,0.68%
XLK,Technology Select Sector SPDR Fund,Technology Equities,Technology Select Sector Index,0.13%
VGT,Vanguard Information Technology ETF,Technology Equities,MSCI US Investable Market Information Technology 25/50 Index,0.10%
CIBR,First Trust NASDAQ CEA Cybersecurity ETF,Technology Equities,Nasdaq CTA Cybersecurity Index,0.60%
